title,year,numPages,DOI
SniP: An Efficient Stack Tracing Framework for Multi-threaded Programs.,2022,5,10.1145/3524842.3528499
How developers use exception handling in Java?,2016,4,10.1145/2901739.2903500
Bug introducing changes: A case study with Android.,2012,4,10.1109/MSR.2012.6224267
Answering questions about unanswered questions of stack overflow.,2013,4,10.1109/MSR.2013.6624015
A Mixed Graph-Relational Dataset of Socio-technical Interactions in Open Source Systems.,2020,5,10.1145/3379597.3387492
Information theoretic evaluation of change prediction models for large-scale software.,2006,7,10.1145/1137983.1138013
A time series analysis of TravisTorrent builds: to everything there is a season.,2017,4,10.1109/MSR.2017.29
Externalization of software behavior by the mining of norms.,2016,12,10.1145/2901739.2901744
Learning from defect removals.,2009,4,10.1109/MSR.2009.5069500
An Empirical Study of High Performance Computing (HPC) Performance Bugs.,2023,13,10.1109/MSR59073.2023.00037
When process data quality affects the number of bugs: Correlations in software engineering datasets.,2010,10,10.1109/MSR.2010.5463286
EqBench: A Dataset of Equivalent and Non-equivalent Program Pairs.,2021,5,10.1109/MSR52588.2021.00084
Python coding style compliance on stack overflow.,2019,5,10.1109/MSR.2019.00042
Is Refactoring Always a Good Egg? Exploring the Interconnection Between Bugs and Refactorings.,2022,5,10.1145/3524842.3528034
Mining questions asked by web developers.,2014,10,10.1145/2597073.2597083
Mining search topics from a code search engine usage log.,2009,10,10.1109/MSR.2009.5069489
Understanding software evolution: the maisqual ant data set.,2014,4,10.1145/2597073.2597136
SOTorrent: reconstructing and analyzing the evolution of stack overflow posts.,2018,12,10.1145/3196398.3196430
"SOTorrent: studying the origin, evolution, and usage of stack overflow code snippets.",2019,4,10.1109/MSR.2019.00038
We need to talk about microservices: an analysis from the discussions on StackOverflow.,2019,5,10.1109/MSR.2019.00051
Energy Consumption Estimation of API-usage in Smartphone Apps via Static Analysis.,2023,12,10.1109/MSR59073.2023.00047
What do developers know about machine learning: a study of ML discussions on StackOverflow.,2019,5,10.1109/MSR.2019.00052
How android app developers manage power consumption?: an empirical study by mining power management commits.,2016,12,10.1145/2901739.2901748
Who will leave the company?: a large-scale industry study of developer turnover by mining monthly work report.,2017,12,10.1109/MSR.2017.58
Automating GUI-based Test Oracles for Mobile Apps.,2024,13,10.1145/3643991.3644930
"Fuse: A Reproducible, Extendable, Internet-Scale Corpus of Spreadsheets.",2015,4,10.1109/MSR.2015.70
Polyglot and Distributed Software Repository Mining with Crossflow.,2020,11,10.1145/3379597.3387481
The relationship between commit message detail and defect proneness in Java projects on GitHub.,2016,4,10.1145/2901739.2903496
SecretBench: A Dataset of Software Secrets.,2023,5,10.1109/MSR59073.2023.00053
MYRIAD PEOPLE Open Source Software for New Media Arts.,2025,5,10.1109/MSR66628.2025.00095
A large-scale empirical study on self-admitted technical debt.,2016,12,10.1145/2901739.2901742
A Tale of Two Browsers.,2011,4,10.1145/1985441.1985481
Mining usage data and development artifacts.,2012,10,10.1109/MSR.2012.6224305
Correlating Social Interactions to Release History during Software Evolution.,2007,,10.1109/MSR.2007.4
